Index,Time,sensor0_raw_v,sensor0_filtered_v,sensor0_delta_v,sensor0_threshold_v,sensor0_hit_count
91826,91.826413,0.788131833,0.791049421,-0.163286567,0.0547888651,0
91827,91.827415,0.485934049,0.791062236,-0.163273752,0.0547888651,0
91828,91.828414,1.03794873,0.790980279,-0.163355708,0.0547888651,0
91829,91.829416,1.07663,0.790932119,-0.163403869,0.0547888651,0
91830,91.830433,0.838901103,0.790561676,-0.163774312,0.0547888651,0
91831,91.831416,0.844542086,0.790265024,-0.164070964,0.0547888651,0
91832,91.832418,0.408571422,0.790066659,-0.164269328,0.0547888651,0
91833,91.833417,0.408571422,0.790173352,-0.164162636,0.0547888651,0
91834,91.834420,0.427106231,0.790078938,-0.162608624,0.0547888651,0
91835,91.835526,1.47472525,0.789869308,-0.16308856,0.0547888651,0
91836,91.836413,1.08468866,0.789599001,-0.16308856,0.0547888651,0
91837,91.837412,1.03472531,0.789430082,-0.16325748,0.0547888651,0
91838,91.838414,0.588278353,0.789332032,-0.163355529,0.0547888651,0
91839,91.839413,0.407765567,0.789107144,-0.163580418,0.0547888651,0
91840,91.840415,0.407765567,0.788388193,-0.164299369,0.0547888651,0
91841,91.841414,1.43120873,0.78795284,-0.164734721,0.0547888651,0
91842,91.842417,0.770402908,0.787789643,-0.164897919,0.0547888651,0
91843,91.843415,0.408571422,0.787707984,-0.164979577,0.0547888651,0
91844,91.844416,1.17091572,0.787452996,-0.165234566,0.0547888651,0
91845,91.845413,0.782490849,0.78702271,-0.165664852,0.0547888651,0
91846,91.846440,0.674505472,0.786635101,-0.166052461,0.0547888651,0
91847,91.847417,0.495604396,0.786322236,-0.166365325,0.0547888651,0
91848,91.848416,0.495604396,0.785979569,-0.166707993,0.0547888651,0
91849,91.849417,0.406153828,0.785896897,-0.166790664,0.0547888651,0
91850,91.850416,0.403736264,0.785972953,-0.166714609,0.0547888651,0
91851,91.851417,0.406153828,0.785974383,-0.166713178,0.0547888651,0
91852,91.852415,1.1128937,0.785899997,-0.166787565,0.0547888651,0
91853,91.853417,0.972673953,0.785470188,-0.167217374,0.0547888651,0
91854,91.854415,0.484322339,0.785273433,-0.167414129,0.0547888651,0
91855,91.855416,0.484322339,0.785097897,-0.167589664,0.0547888651,0
91856,91.856417,1.16527474,0.784900963,-0.167786598,0.0547888651,0
91857,91.857449,1.07582414,0.784666955,-0.168020606,0.0547888651,0
91858,91.858416,1.18139195,0.784014523,-0.168673038,0.0547888651,0
